City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hastings,50.8552,0.5729,9.86,31,28,5.16,GB,1681410373
1,dingle,10.9995,122.6711,24.35,88,96,0.84,PH,1681410589
2,labuan,5.2767,115.2417,26.2,83,20,0.51,MY,1681410589
3,chokurdakh,70.6333,147.9167,-20.31,98,76,2.43,RU,1681410589
4,malangali,-8.5667,34.85,17.31,96,83,3.56,TZ,1681410589
5,leningradskiy,69.3833,178.4167,-25.6,97,82,2.4,RU,1681410590
6,busselton,-33.65,115.3333,10.96,79,87,7.72,AU,1681410590
7,atuona,-9.8,-139.0333,26.63,71,41,2.56,PF,1681410591
8,bluff,-46.6,168.3333,11.56,79,11,8.21,NZ,1681410592
9,cherskiy,68.75,161.3,-28.07,100,65,1.09,RU,1681410592
10,mataura,-46.1927,168.8643,11.38,87,51,3.61,NZ,1681410593
11,georgetown,5.4112,100.3354,29.97,79,20,3.6,MY,1681410425
12,iqaluit,63.7506,-68.5145,-7.15,79,100,1.54,CA,1681410593
13,ola,59.5833,151.2833,-9.82,80,100,4.43,RU,1681410593
14,sao miguel do araguaia,-13.275,-50.1628,29.39,65,60,3.26,BR,1681410594
15,tateyama,34.9833,139.8667,17.37,65,59,6.92,JP,1681410594
16,caravelas,-17.7125,-39.2481,27.04,81,51,1.53,BR,1681410594
17,lingao,19.9103,109.6859,23.78,90,44,5.12,CN,1681410594
18,barrow,71.2906,-156.7887,-22.99,77,0,4.12,US,1681410594
19,myitkyina,25.3833,97.4,22.67,32,0,1.11,MM,1681410594
20,brus laguna,15.75,-84.4833,30.38,56,87,2.88,HN,1681410595
21,marawi,7.9986,124.2928,20.62,95,35,0.79,PH,1681410595
22,naze,28.3667,129.4833,19.51,90,82,5.91,JP,1681410595
23,krasnoye-na-volge,57.5125,41.2419,3.92,51,10,7.87,RU,1681410595
24,hirara,24.8,125.2833,23.15,94,100,4.12,JP,1681410446
25,lompoc,34.6391,-120.4579,19.18,62,20,6.69,US,1681410595
26,lamu,-2.2717,40.902,29.12,79,100,4.66,KE,1681410596
27,port hardy,50.6996,-127.4199,6.1,75,100,3.6,CA,1681410596
28,qaanaaq,77.484,-69.3632,-11.87,82,0,0.91,GL,1681410596
29,katsuura,35.1333,140.3,16.69,65,44,7.01,JP,1681410596
30,lebu,-37.6167,-73.65,15.67,81,52,4.0,CL,1681410596
31,padang,-0.9492,100.3543,25.03,89,92,1.2,ID,1681410597
32,bijar,35.8668,47.6051,3.59,65,40,7.44,IR,1681410597
33,chernyshevskiy,63.0128,112.4714,-15.03,95,43,2.24,RU,1681410597
34,bethel,41.3712,-73.414,31.46,32,0,6.69,US,1681410517
35,hithadhoo,-0.6,73.0833,28.59,70,15,2.83,MV,1681410597
36,hay river,60.8156,-115.7999,-2.02,80,40,6.17,CA,1681410597
37,rawson,-43.3002,-65.1023,12.11,44,5,3.8,AR,1681410598
38,arraial do cabo,-22.9661,-42.0278,29.98,65,0,7.72,BR,1681410598
39,rio gallegos,-51.6226,-69.2181,10.03,46,0,1.54,AR,1681410598
40,beaumont,30.0861,-94.1019,23.99,45,100,3.09,US,1681410598
41,longyearbyen,78.2186,15.6401,-0.09,86,75,2.57,SJ,1681410598
42,rikitea,-23.1203,-134.9692,22.6,86,100,1.62,PF,1681410599
43,san patricio,28.017,-97.5169,27.31,43,0,3.98,US,1681410599
44,westport,41.1415,-73.3579,32.16,32,0,7.72,US,1681410494
45,hasaki,35.7333,140.8333,15.22,70,6,8.22,JP,1681410599
46,sao filipe,14.8961,-24.4956,23.4,78,51,3.79,CV,1681410599
47,nara,34.6851,135.8049,15.83,29,54,1.15,JP,1681410599
48,hamilton,39.1834,-84.5333,27.18,28,0,3.6,US,1681410440
49,severo-kurilsk,50.6789,156.125,-0.67,90,89,2.21,RU,1681410600
50,ushuaia,-54.8,-68.3,8.79,61,0,1.54,AR,1681410600
51,rocha,-34.4833,-54.3333,18.5,41,7,5.02,UY,1681410601
52,hilo,19.7297,-155.09,20.14,100,100,3.09,US,1681410355
53,monte azul,-15.155,-42.8747,28.69,50,100,1.66,BR,1681410602
54,hobart,-42.8794,147.3294,11.81,94,100,3.6,AU,1681410585
55,alice springs,-23.7,133.8833,21.75,46,100,3.6,AU,1681410442
56,kahului,20.8947,-156.47,23.8,76,40,4.63,US,1681410355
57,delmas,18.5447,-72.3028,30.4,55,75,2.57,HT,1681410603
58,ancud,-41.8697,-73.8203,15.89,55,6,1.2,CL,1681410603
59,beira,-19.8436,34.8389,25.05,100,0,2.57,MZ,1681410405
60,avarua,-21.2078,-159.775,25.03,69,100,3.09,CK,1681410605
61,abu samrah,35.3029,37.1841,10.37,83,0,5.82,SY,1681410605
62,epe,6.5841,3.9834,27.41,83,99,3.45,NG,1681410606
63,port alfred,-33.5906,26.891,16.77,88,14,1.34,ZA,1681410606
64,east london,-33.0153,27.9116,17.52,72,0,3.6,ZA,1681410608
65,comodoro rivadavia,-45.8667,-67.5,8.92,53,0,3.6,AR,1681410609
66,sabzevar,36.2126,57.6819,25.05,27,100,7.19,IR,1681410609
67,rossland,49.0831,-117.8022,5.9,74,60,0.88,CA,1681410609
68,upernavik,72.7868,-56.1549,-7.11,86,100,2.07,GL,1681410610
69,airai,-8.9266,125.4092,15.77,94,48,0.86,TL,1681410611
70,ambikapur,23.1167,83.2,26.31,21,99,0.78,IN,1681410612
71,esperance,-33.8667,121.9,15.69,74,100,12.8,AU,1681410612
72,kantilo,20.35,85.1833,29.6,34,1,0.93,IN,1681410612
73,khatanga,71.9667,102.5,-14.09,83,100,7.4,RU,1681410613
74,victoria,22.2855,114.1577,24.03,90,33,0.89,HK,1681410375
75,pozo colorado,-23.4923,-58.7972,21.33,97,100,3.17,PY,1681410614
76,harper,4.375,-7.7169,27.7,79,40,3.83,LR,1681410614
77,takoradi,4.8845,-1.7554,27.68,81,3,4.04,GH,1681410615
78,bredasdorp,-34.5322,20.0403,16.47,69,0,6.13,ZA,1681410616
79,bonthe,7.5264,-12.505,27.49,78,4,5.32,SL,1681410617
